"﻿ID","DC_KEY","Description","DATE","time","Location","UCR","LAT","LNG"
1,2.01E+011,"民進黨團會議","9/15/2015",09:00:00,"台北市",615,25.03,121.57
2,2.01E+011,"「英派革新，原民向前」推薦立委參選人陳瑩、瓦歷斯‧貝林記者會","9/15/2015",10:00:00,"台北市",615,25.03,121.57
3,2.01E+011,"保坪宮參拜","9/15/2015",14:00:00,"新北市坪林區",615,24.94,121.71
4,2.01E+011,"石碇與鄉親茶敘","9/15/2015",15:00:00,"新北市石碇區",615,25.01,121.65
5,2.01E+011,"集順廟參拜，深坑老街徒步","9/15/2015",16:30:00,"新北市深坑區",615,25,121.62
6,2.01E+011,"企業家陳錦源先生父喪捻香","9/15/2015",13:00:00,"彰化縣鹿港鎮",617,24.08,120.45
7,2.01E+011,"詮偉五金工業公司座談","9/15/2015",13:40:00,"彰化縣鹿港鎮",617,24.08,120.45
8,2.01E+011,"彰化縣漁會","9/15/2015",14:30:00,"彰化縣芳苑鄉",617,23.95,120.36
9,2.01E+011,"鹿港鎮挺小宋主席後援會","9/15/2015",15:40:00,"彰化縣福興鄉",617,24.04,120.42
10,2.01E+011,"訪員林鎮前國大代表黃上揚先生、前議員黃進揚先生","9/15/2015",17:00:00,"彰化縣員林鎮",617,23.96,120.59
11,2.01E+011,"台北天后宮參拜","9/16/2015",10:00:00,"台北市萬華區",615,25.03,121.5
12,2.01E+011,"拜訪台北市農會","9/16/2015",11:00:00,"台北市大安區",615,25.03,121.54
13,2.01E+011,"民進黨中常會","9/16/2015",13:00:00,"台北市中正區",615,25.04,121.52
14,2.01E+011,"創黨29周年紀念晚會暨全代會的宣傳記者會","9/16/2015",15:00:00,"台北市中正區",615,25.04,121.52
15,2.01E+011,"台灣維順工業股份有限公司","9/17/2015",15:50:00,"台中市南屯區",615,24.15,120.61
16,2.01E+011,"青商全國蔡英文後援會成立大會","9/17/2015",19:05:00,"台中市南屯區",615,24.15,120.61
17,2.01E+011,"綠能科技創新產業政策發佈記者會","9/18/2015",10:00:00,"台北市中正區",615,25.04,121.52
18,2.01E+011,"陽明大學附設醫院聽取簡報","9/18/2015",16:30:00,"宜蘭市",615,24.76,121.75
19,2.01E+011,"長青老人會午餐","9/18/2015",12:40:00,"台中市北屯區",617,24.18,120.69
20,2.01E+011,"與青年有約","9/18/2015",15:00:00,"台中市西區",617,24.14,120.66
21,2.01E+011,"拜訪鄭水添","9/18/2015",17:00:00,"台中市南屯區",617,24.15,120.61
22,2.01E+011,"莊文平董事長餐會","9/18/2015",18:30:00,"台中市北屯區",617,24.18,120.69
23,2.01E+011,"2015年兩岸關係與亞太區域和平國際研討會","9/19/2015",09:00:00,"台北市中正區",615,25.04,121.52
24,2.01E+011,"第十六屆第二次全國黨員代表大會","9/19/2015",15:00:00,"桃園市平鎮區",615,24.93,121.21
25,2.01E+011,"創黨29周年紀念晚會","9/19/2015",20:55:00,"桃園市中壢區",615,24.97,121.21
26,2.01E+011,"與工會企業主座談","9/19/2015",10:00:00,"台中市東區",617,24.14,120.69
27,2.01E+011,"豐原廣福宮顧問團長交接典禮","9/19/2015",11:10:00,"台中市豐原區",617,24.25,120.72
28,2.01E+011,"神岡宋氏宗親會理事長交接典禮","9/19/2015",12:10:00,"台中市神岡區",617,24.25,120.68
29,2.01E+011,"與豐原地方人士餐敘","9/19/2015",13:10:00,"台中市豐原區",617,24.25,120.72
30,2.01E+011,"陳清龍服務處問政說明及政策宣傳","9/19/2015",14:10:00,"台中市豐原區",617,24.25,120.72
31,2.01E+011,"中部後援大聯盟成立大會","9/19/2015",15:30:00,"台中市北屯區",617,24.18,120.69
32,2.01E+011,"訪陳成添等議員","9/19/2015",17:00:00,"台中市北屯區",617,24.18,120.69
33,2.01E+011,"護理人員公共事務與健康政策參與研討會","9/20/2015",14:30:00,"高雄市三民區",615,22.65,120.33
34,2.01E+011,"「小英盃」慢速壘球錦標賽開幕賽開幕式","9/20/2015",15:30:00,"高雄市鳥松區",615,22.66,120.37
35,2.01E+011,"屏東縣小英之友會暨姊妹會成立大會","9/20/2015",16:30:00,"屏東市",615,22.66,120.47
36,2.01E+011,"拜訪劉炳偉議長","9/20/2015",09:40:00,"新北市板橋區",617,25.01,121.46
37,2.01E+011,"拜訪吳清池立委","9/20/2015",10:20:00,"新北市板橋區",617,25.01,121.46
38,2.01E+011,"地方人士茶會","9/20/2015",11:00:00,"新北市板橋區",617,25.01,121.46
39,2.01E+011,"新住民關懷據點座談","9/20/2015",14:30:00,"新北市土城區",617,24.97,121.44
40,2.01E+011,"拜訪李學益副議長","9/20/2015",16:00:00,"新北市蘆洲區",617,25.09,121.47
